      98
    A 24
    B 10
    C 10
    D 18
    E 126
    F 16
    H 10
    I 8
    J 16
    K 10
    L 10
    M 60
    O 2
    P 8
    S 6
    T 12
    U 6
    V 2
    W 4
    Z 4
    a 94
    b 52
    d 396
    e 44
    f 22
    g 22
    h 14
    i 56
    j 2
    k 18
    l 10
    m 4
    n 14
    o 8
    p 16
    r 2
    s 38
    t 6
    u 76
    v 12
    w 16
    z 46
  A   2
rwg t 4
rwg u 74
rwh n 322
rwh r 2
rwi c 8
rwi d 2
rwi e 142
rwi l 4
rwi n 136
rwi r 210
rwi s 4
rwl d 4
rwl t 30
rwn d 4
rwn s 8
rwo b 2
rwo g 4
rwo r 264
rwr f 22
rwr m 12
rwr t 10
rws s 8
rws t 8
rwu n 32
rwu r 24
ry  H 2
ry  I 2
ry  K 2
ry  M 2
ry  N 2
ry  R 2
ry  S 2
ry  g 2
ry  i 2
ry  u 2
ryo n 2
ryu s 2
rz    34
rz  E 2
rz  F 2
rz  G 2
rz  a 14
rz  b 12
rz  d 18
rz  e 12
rz  g 30
rz  h 4
rz  i 6
rz  k 2
rz  m 4
rz  n 2
rz  s 2
rz  u 20
rz  v 30
rz  w 4
rz  z 8
rza h 138
rza r 26
rzb l 2
rze   76
rze d 26
rze g 24
rze h 78
rze i 698
rze j 2
rze l 30
rze m 48
rze n 114
rze r 70
rze s 6
rze u 1100
rzf r 54
rzg e 64
rzg l 50
rzh a 8
rzh e 2
rzh l 24
rzi a 4
rzi c 56
rzi e 508
rzi f 8
rzi g 16
rzi m 2
rzi n 4
rzi s 26
rzl e 4
rzl i 142
rzl l 2
rzm a 4
rzm e 2
rzn e 66
rzo g 44
rzo n 2
rzs c 32
rzs i 12
rzs t 6
rzt   56
rzt e 12
rzu   34
rzu a 2
rzu b 50
rzu c 8
rzu e 20
rzu f 10
rzu g 142
rzu h 24
rzu k 4
rzu l 124
rzu m 12
rzu n 190
rzu o 4
rzu r 4
rzu s 554
rzu t 4
rzu v 4
rzu w 2
rzu z 2
rzv o 2
rzw e 10
rzw i 14
rzw u 8
rzy k 2
s     184
s   A 6
s   B 6
s   D 10
s   E 14
s   F 6
s   G 4
s   H 4
s   I 4
s   J 28
s   K 2
s   L 8
s   M 80
s   N 10
s   P 4
s   R 60
s   S 6
s   T 2
s   U 6
s   V 4
s   W 2
s   Z 4
s   a 64
s   b 28
s   d 88
s   e 38
s   f 16
s   g 20
s   h 12
s   i 40
s   j 4
s   k 8
s   l 6
s   m 14
s   n 16
s   o 4
s   p 2
s   r 2
s   s 22
s   t 2
s   u 60
s   v 18
s   w 30
s   z 32
s A   4
s A E 4
s A K 8
s A L 2
s A M 2
s A P 4
s A R 2
s A S 2
s A a 2
s A b 392
s A c 80
s A d 18
s A f 4
s A g 38
s A h 2
s A k 26
s A l 68
s A m 44
s A n 232
s A p 4
s A r 184
s A s 114
s A t 12
s A u 486
s B A 4
s B I 216
s B N 12
s B S 2
s B a 80
s B c 2
s B e 888
s B i 210
s B l 2
s B n 6
s B o 14
s B r 138
s B s 2
s B u 54
s C E 8
s C I 2
s C O 12
s C P 4
s C a 6
s C e 4
s C h 26
s C l 14
s C o 14
s C r 2
s C y 2
s D A 2
s D C 16
s D a 132
s D e 140
s D i 258
s D o 126
s D r 108
s D u 30
s E   6
s E A 24
s E C 6
s E D 4
s E E 18
s E F 30
s E G 52
s E H 10
s E L 16
s E M 2
s E N 4
s E P 4
s E S 28
s E T 4
s E U 136
s E W 12
s E c 2
s E h 4
s E i 212
s E l 28
s E m 8
s E n 276
s E p 2
s E r 496
s E s 46
s E t 4
s E u 1692
s E v 8
s E x 24
s F A 8
s F H 4
s F P 2
s F a 50
s F e 46
s F h 6
s F i 198
s F l 32
s F n 2
s F o 174
s F r 204
s F t 2
s F u 58
s G A 6
s G G 2
s G H 2
s G M 4
s G N 36
s G P 8
s G T 2
s G V 2
s G a 110
s G e 612
s G i 20
s G l 70
s G o 10
s G r 198
s G t 10
s G u 34
s H a 864
s H e 178
s H i 66
s H k 2
s H n 4
s H o 54
s H t 6
s H u 12
s H y 2
s I A 22
s I I 2
s I L 2
s I M 2
s I N 4
s I P 2
s I T 2
s I V 4
s I W 80
s I c 106
s I d 4
s I h 40
s I l 2
s I m 26
s I n 662
s I r 12
s I s 10
s I t 6
s J I 2
s J a 312
s J e 8
s J h 2
s J o 4
s J r 2
s J u 46
s K K 2
s K M 18
s K a 144
s K e 30
s K i 54
s K l 110
s K n 14
s K o 304
s K r 98
s K s 2
s K u 40
s K y 2
s L I 12
s L a 408
s L c 4
s L e 308
s L h 2
s L i 36
s L n 34
s L o 44
s L s 4
s L u 26
s M E 2
s M F 12
s M H 20
s M I 2
s M O 2
s M a 306
s M d 6
s M e 156
s M g 6
s M i 380
s M n 6
s M o 88
s M r 4
s M s 2
s M t 2
s M u 18
s N A 22
s N a 60
s N c 6
s N e 44
s N i 56
s N o 58
s N r 2
s N u 12
s O b 20
s O f 8
s O k 2
s O l 2
s O n 2
s O p 14
s O r 28
s O s 2
s P F 2
s P R 2
s P a 1504
s P e 50
s P f 10
s P h 18
s P i 14
s P l 34
s P o 224
s P r 994
s P u 4
s Q u 10
s R A 2
s R P 38
s R S 4
s R a 700
s R c 28
s R e 716
s R h 2
s R i 76
s R o 20
s R u 80
s S A 6
s S B 10
s S E 6
s S W 4
s S a 88
s S c 468
s S d 42
s S e 106
s S h 2
s S i 420
s S k 8
s S m 36
s S n 2
s S o 78
s S p 84
s S r 2
s S t 338
s S u 28
s S w 2
s S y 272
s S z 10
s T E 4
s T a 48
s T e 186
s T h 290
s T i 14
s T o 4
s T r 102
s T s 10
s T u 14
s U   2
s U N 18
s U S 4
s U V 6
s U h 2
s U l 2
s U m 76
s U n 202
s U r 94
s V K 2
s V N 2
s V a 6
s V e 1146
s V i 26
s V l 28
s V o 304
s W   2
s W T 12
s W a 286
s W e 218
s W h 2
s W i 292
s W l 10
s W o 134
s W r 2
s W u 4
s X I 4
s Y a 2
s Z a 14
s Z e 112
s Z g 2
s Z i 338
s Z l 2
s Z o 4
s Z r 2
s Z u 124
s Z w 26
s a   2
s a b 280
s a c 20
s a d 2
s a k 54
s a l 770
s a m 136
s a n 830
s a p 6
s a r 24
s a s 4
s a t 8
s a u 2218
s b a 24
s b e 2466
s b i 214
s b l 30
s b r 78
s b u 2
s b z 4
s c h 8
s c o 10
s d   4
s d a 2304
s d e 5300
s d i 6076
s d o 48
s d r 86
s d u 280
s d y 2
s e a 2
s e b 60
s e c 16
s e f 24
s e g 2
s e h 40
s e i 2704
s e l 14
s e m 20
s e n 286
s e r 1076
s e s 1098
s e t 42
s e u 314
s e v 6
s e x 34
s f a 60
s f d 2
s f e 82
s f f 116
s f g 2
s f h 64
s f i 48
s f l 26
s f n 12
s f o 100
s f r 2026
s f t 2
s f u 20
s g a 132
s g b 8
s g e 1872
s g i 394
s g l 118
s g n 8
s g o 8
s g r 154
s g u 70
s g y 2
s h a 506
s h c 18
s h e 346
s h h 14
s h i 306
s h l 4
s h n 24
s h o 76
s h r 6
s h t 24
s h u 18
s h y 2
s i c 312
s i d 6
s i h 240
s i l 16
s i m 782
s i n 1938
s i r 28
s i s 2266
s i t 10
s j a 30
s j e 382
s j h 6
s j n 10
s j u 36
s k a 134
s k e 158
s k l 80
s k m 4
s k n 126
s k o 176
s k r 36
s k u 48
s l   6
s l a 78
s l e 188
s l g 2
s l i 114
s l n 50
s l o 12
s l p 6
s l s 20
s l u 4
s m a 312
s m c 98
s m e 288
s m g 106
s m i 604
s m n 2
s m o 46
s m r 2
s m s 124
s m u 222
s n a 256
s n c 84
s n d 34
s n e 238
s n h 4
s n i 786
s n m 14
s n o 276
s n t 38
s n u 232
s o b 70
s o d 132
s o f 64
s o h 36
s o n 2
s o p 44
s o r 58
s p a 100
s p e 14
s p l 10
s p o 148
s p r 100
s q u 12
s r a 16
s r c 10
s r e 170
s r i 48
s r m 6
s r o 4
s r t 2
s r u 26
s s a 92
s s c 298
s s d 10
s s e 604
s s i 1928
s s k 4
s s m 4
s s o 828
s s p 80
s s t 410
s s u 4
s s y 20
s t a 28
s t e 42
s t g 10
s t h 6
s t i 12
s t o 6
s t r 84
s t t 4
s t u 94
s t y 2
s u   2
s u a 2
s u e 30
s u k 4
s u m 458
s u n 3738
s u r 16
s u s 2
s v e 556
s v i 170
s v l 16
s v o 1380
s w a 414
s w c 4
s w e 550
s w h 20
s w i 2854
s w n 36
s w o 96
s w r 198
s w t 2
s w u 176
s z   4
s z a 18
s z e 64
s z h 4
s z i 24
s z u 2388
s z w 300
s'  B 4
s'  E 2
s'  e 2
s'  i 2
s'  p 2
sAL E 12
sAl l 2
sAn l 2
sBe i 24
sBe r 10
sBr e 4
sCe n 2
sCl u 2
sCo m 4
sDa m 2
sEm p 2
sEn t 26
sEr g 14
sEx p 2
sFo n 2
sGr e 2
sHa u 6
sIn d 2
sIn s 2
sIn t 4
sKa h 16
sKa m 2
sKl a 2
sKo a 2
sLe i 4
sMe h 2
sMi k 2
sOb e 6
sPa k 10
sPa r 4
sPo r 2
sPr e 4
sPr o 8
sPu r 2
sRe g 4
sRi c 6
sSe l 2
sSt i 4
sSw a 2
sSy s 2
sTh e 2
sVe r 12
sWe l 2
sWi r 2
sZe i 2
sa    2
sa  D 2
sa  E 2
sa  F 8
sa  M 6
sa  S 2
sa  V 4
sa  b 2
sa  d 2
sa  g 4
sa  h 2
sa  i 6
sa  l 4
sa  m 2
sa  p 2
sa  u 10
sa  v 6
saP o 4
saR e 2
saT a 2
saV e 2
saa k 2
saa l 38
saa n 2
sab e 8
sab g 14
sab h 2
sab k 504
sab l 6
sab o 296
sab s 146
sab t 2
sac h 964
sac k 2
sad   20
sad R 2
sad e 2
sad s 4
sae r 6
saf   2
saf a 2
saf e 4
sag b 8
sag e 900
sag i 12
sag t 680
sah   22
sah a 2
sah e 6
sai k 2
sai s 4
sak a 2
sak e 10
sak i 2
sak o 2
sak t 236
sal   26
sal d 2
sal e 8
sal i 10
sal o 2
sal t 16
sam   424
sam a 6
sam e 1822
sam k 310
sam m 2564
sam t 876
sam u 4
san a 6
san b 2
san d 64
san f 26
san g 178
san h 2
san i 14
san k 16
san l 32
san o 10
san p 2
san r 2
san s 24
san t 444
san w 38
san z 8
sap p 2
sar   502
sar b 164
sar e 12
sar i 160
sar r 2
sar s 14
sar t 24
sas   4
sas p 14
sas s 2
sas y 8
sat e 8
sat i 594
sat l 6
sat o 38
sat t 2
sat z 1180
sau b 16
sau d 2
sau f 100
sau r 2
sau s 248
sau t 2
saw   8
say   2
sba c 12
sba l 8
sba n 38
sba r 48
sba s 68
sba u 76
sbc h 2
sbe a 4
sbe d 188
sbe f 22
sbe g 8
sbe h 190
sbe i 18
sbe k 56
sbe m 16
sbe n 54
sbe o 4
sbe r 386
sbe s 1396
sbe t 42
sbe u 24
sbe v 10
sbe w 66
sbe z 270
sbi l 316
sbi o 2
sbl a 4
sbl c 4
sbl e 4
sbl i 8
sbl o 8
sbl u 2
sbo o 4
sbr a 110
sbr c 2
sbr e 32
sbr g 48
sbr i 2
sbr o 8
sbr u 72
sbt   4
sbt e 2
sbt t 2
sbu c 96
sbu n 42
sbu r 6
sca r 8
sce n 4
sch   1178
sch W 4
sch a 7966
sch b 32
sch c 22
sch d 172
sch e 23742
sch f 1140
sch g 4
sch h 18
sch i 1756
sch j 2
sch k 12
sch l 6470
sch m 172
sch n 656
sch o 430
sch p 116
sch r 2486
sch s 162
sch t 1068
sch u 3048
sch v 8
sch w 1180
sci e 2
sck e 2
sco n 14
scu   8
scu a 2
sda f 2
sda t 20
sda u 18
sde C 2
sde b 6
sde f 30
sde h 32
sde l 6
sde m 2
sde n 4
sde r 2
sde s 28
sde u 6
sdi a 16
sdi c 2
sdi e 64
sdi m 2
sdi r 6
sdi s 30
sdl i 58
sdo k 8
sdo r 10
sdo s 2
sdr c 78
sdr u 276
sds t 2
sds u 4
sdu m 2
sdy n 4
se    64
se  A 352
se  B 170
se  C 4
se  D 114
se  E 248
se  F 186
se  G 106
se  H 82
se  I 170
se  J 4
se  K 108
se  L 104
se  M 176
se  N 14
se  O 18
se  P 168
se  Q 2
se  R 188
se  S 194
se  T 92
se  U 64
se  V 192
se  W 146
se  Z 82
se  a 444
se  b 366
se  d 1194
se  e 310
se  f 206
se  g 218
se  h 178
se  i 484
se  j 28
se  k 62
se  l 36
se  m 106
se  n 198
se  o 26
se  p 38
se  r 30
se  s 286
se  t 28
se  u 400
se  v 266
se  w 222
se  z 386
sea   2
sea n 2
sea s 2
seb a 6
seb e 52
seb s 2
sec h 106
sec o 2
sec u 6
sed o 8
see   2
see f 4
see g 4
see i 8
see l 2
see n 2
see r 6
sef   2
sef a 2
sef f 8
sef r 28
seg m 2
seg n 2
seg r 2
seh b 34
seh d 2
seh e 894
seh n 8
seh r 1594
seh s 2
sei   92
sei d 2
sei e 30
sei g 4
sei l 2
sei m 4
sei n 3642
sei t 1326
sek   2
sek a 2
sek o 2
sek r 54
sek t 560
sek u 4
sel   230
sel B 2
sel I 6
sel K 2
sel V 2
sel a 22
sel b 720
sel d 2
sel e 44
sel f 14
sel g 2
sel i 24
sel k 6
sel l 570
sel m 6
sel n 94
sel p 10
sel r 38
sel s 44
sel t 64
sel w 10
sem   1930
sem a 2
sem e 6
sem i 56
sem p 4
sen   9482
sen a 12
sen b 56
sen d 840
sen e 576
sen g 82
sen h 98
sen i 12
sen k 144
sen l 2
sen m 26
sen p 10
sen q 50
sen r 8
sen s 614
sen t 658
sen u 2
sen v 44
sen w 2
sen z 52
sep a 20
sep h 6
sep l 4
seq u 132
ser   3484
ser a 4
ser b 102
ser e 2950
ser f 38
ser g 44
ser h 20
ser i 38
ser k 44
ser l 18
ser m 30
ser n 540
ser p 2
ser r 42
ser s 18
ser t 296
ser u 546
ser v 92
ser w 6
ser z 14
ses   2490
ses c 2
ses e 6
ses o 2
ses s 14
ses t 6
set a 8
set i 4
set s 2
set t 2
set z 3598
seu c 6
seu d 4
seu m 4
seu r 38
sev e 4
sev o 2
sew i 2
sex   2
sex p 2
sex u 20
sex z 4
sey   4
sey c 8
sez e 2
sez i 2
sez y 2
sfa k 16
sfa l 52
sfa m 2
sfa s 22
sfa z 22
sfd e 2
sfe h 6
sfe i 4
sfe l 14
sfe r 22
sfe s 12
sfh i 574
sfh r 446
sfi n 82
sfi r 2
sfi s 2
sfl a 2
sfl c 6
sfl g 2
sfl i 2
sfl l 42
sfl u 14
sfn f 4
sfo l 158
sfo n 214
sfo r 624
sfr a 38
sfr c 2
sfr d 32
sfr e 118
sfr i 22
sfr s 6
sfu h 28
sfu n 2
sga b 238
sga n 68
sga r 2
sga s 28
sge a 38
sge b 172
sge d 46
sge f 80
sge g 162
sge h 170
sge i 2
sge k 8
sge l 68
sge m 200
sge n 36
sge o 2
sge p 8
sge r 166
sge s 590
sge t 20
sge w 222
sge z 50
sgi b 8
sgi e 2
sgi n 2
sgl e 62
sgn g 2
sgn s 6
sgr a 18
sgr e 110
sgr n 14
sgr t 2
sgr u 162
sgt e 4
sgu t 2
sh  C 2
sh  z 2
sha f 8
sha l 2558
sha n 58
sha r 2
sha u 50
she b 2
she i 16
she m 72
she n 2
she r 238
shf e 4
shh e 2
shi e 2
shi l 98
shi m 56
shi n 18
shi p 4
shi r 26
shl f 4
shl t 2
shn d 2
shn e 2
shn g 2
shn l 2
shn u 24
sho f 368
sho h 2
sho p 2
sho r 4
sho y 2
shr a 26
sht o 132
shu n 2
shw o 4
si  M 2
si  d 4
si  g 2
si  i 2
si  l 2
si  o 2
si  v 2
sia s 6
sia t 14
sib e 18
sib i 16
sib l 50
sic   4
sic a 2
sic h 9060
sic k 4
sid e 1626
sid i 46
sie   3810
sie b 62
sie d 26
sie g 10
sie h 200
sie n 90
sie r 1990
sie v 2
sif f 2
sif i 36
sig   80
sig e 182
sig k 230
sig n 28
sig t 18
sik   4
sik a 8
sik e 108
sik i 2
sik o 190
sil b 6
sil e 24
sil i 14
sil l 2
sim i 2
sim p 6
sim u 4
sin   4
sin d 4676
sin e 84
sin f 42
sin g 14
sin h 8
sin i 32
sin k 28
sin n 188
sin s 130
sin t 22
sin v 22
sio l 2
sio n 4608
sis   156
sis a 2
sis c 300
sis d 2
sis m 10
sis p 2
sis t 108
sit a 2
sit e 6
sit i 734
sit l 10
sit r 20
sit s 2
sit t 98
sit u 48
sit v 4
sit z 598
siu s 2
siv   38
siv e 216
siv i 60
siv l 2
siv r 6
sja h 256
sje n 2
sjh r 8
sk  M 2
sk  b 4
sk  d 6
sk  e 2
sk  i 4
sk  u 2
sk  v 2
ska l 14
ska m 14
ska n 46
ska p 14
ska r 40
ska s 2
ska t 2
ska u 22
ske n 94
ske p 34
ske t 18
skf o 2
ski   24
ski e 12
ski s 4
ski z 10
skl a 66
skl i 8
skm p 2
skn f 4
sko   6
sko d 14
sko l 10
sko m 50
sko n 178
sko o 2
sko r 8
sko s 74
skr a 24
skr e 26
skr f 72
skr i 380
skr m 2
skr p 16
skr u 2
skr z 24
sku f 2
sku l 8
sku n 2
sku r 22
sku s 220
sku t 214
sky   12
sky L 2
sla g 46
sla m 30
sla n 710
sla s 34
sla t 178
sla u 40
sla v 6
sla w 16
slc k 10
sle b 34
sle g 50
sle h 2
sle i 34
sle m 2
sle u 12
sli b 4
sli c 130
sli e 62
sli m 10
sli n 26
sli s 6
sln d 184
slo h 2
slo s 354
slo w 4
sls c 2
sls e 6
sls t 8
sls u 12
slu f 22
slu s 2
sm  v 2
sma   54
sma c 50
sma e 14
sma l 6
sma n 192
sma r 282
sma s 6
sma t 2
smc h 4
sme c 124
sme i 2
sme n 154
sme r 2
sme t 54
smg l 104
smh l 2
smi g 162
smi k 2
smi n 38
smi s 24
smi t 696
smn g 2
smo d 88
smo n 6
smo r 2
smr k 12
smt l 78
smu d 2
smu s 578
smu t 4
sna c 44
sna h 128
sna t 32
snd e 22
sne h 2
sne r 4
sne t 62
sne u 2
sni a 2
sni e 34
sni m 2
sni s 6
sni v 104
snl i 186
sno r 16
sno t 2
snu t 14
sny   6
sny s 2
so    6
so  A 2
so  B 2
so  D 8
so  E 4
so  F 6
so  G 4
so  H 4
so  I 4
so  K 2
so  L 2
so  S 2
so  V 2
so  W 6
so  a 122
so  b 108
so  d 276
so  e 146
so  f 38
so  g 126
so  h 78
so  i 50
so  j 2
so  k 50
so  l 26
so  m 54
so  n 50
so  o 10
so  p 2
so  r 10
so  s 158
so  t 24
so  u 28
so  v 138
so  w 390
so  z 52
sob a 62
sob e 22
sob j 2
sob r 2
soc i 2
sod a 124
soe b 36
sof e 72
sof f 2
sof o 78
sog a 236
sog e 122
soh n 22
soi r 2
sol a 50
sol c 440
sol d 2
sol i 192
sol l 3642
sol u 188
sol v 60
som i 196
som m 2
son   74
son B 2
son a 78
son d 3034
son e 260
son n 16
son s 112
sop e 4
sop f 6
sop h 10
sop t 14
sor   12
sor d 208
sor e 4
sor g 1060
sor i 52
sor p 2
sor t 28
sou k 2
sou n 2
sou r 510
sou v 26
sov   2
sov i 2
sov o 30
sow e 38
sow i 1488
sow j 26
sow o 572
soz i 1252
soz u 14
spa P 16
spa S 8
spa c 4
spa i 2
spa k 186
spa l 22
spa n 88
spa p 8
spa r 1230
spa s 2
spa t 6
spa z 2
spe a 2
spe i 6
spe k 678
spe n 2
spe r 86
spe z 372
spf l 120
sph a 28
sph e 2
sph r 32
spi c 2
spi e 1324
spi p 2
spi r 14
spi t 10
spl a 728
spl e 2
spl i 16
spl n 66
spl t 472
spo l 1584
spo n 14
spo o 2
spo p 4
spo r 248
spo s 18
spo t 50
spr   2
spr a 484
spr b 16
spr c 140
spr e 1014
spr f 98
spr g 4
spr i 238
spr l 4
spr m 2
spr n 100
spr o 920
spr s 64
spr u 446
spt   10
spt e 154
spt u 4
spu f 16
spu n 68
spu r 38
squ a 62
squ e 42
squ o 36
sra e 58
sra g 26
sra h 182
sra t 166
sra u 90
src k 10
sre a 10
sre c 314
sre d 32
sre f 20
sre g 98
sre i 214
sre l 2
sre p 10
sre s 16
sre t 2
sre v 2
sre z 2
srh e 2
sri c 64
sri e 4
sri g 2
sri s 12
sro l 38
sro t 2
sro u 14
srs t 28
srt e 14
sru b 2
sru m 26
sru n 22
ss    92
ss  A 226
ss  B 40
ss  C 6
ss  D 100
ss  E 160
ss  F 96
ss  G 56
ss  H 70
ss  I 148
ss  J 30
ss  K 94
ss  L 54
ss  M 96
ss  N 8
ss  O 6
ss  P 40
ss  R 92
ss  S 266
ss  T 24
ss  U 32
ss  V 26
ss  W 40
ss  Z 24
ss  a 636
ss  b 258
ss  c 4
ss  d 6382
ss  e 2114
ss  f 382
ss  g 188
ss  h 96
ss  i 722
ss  j 154
ss  k 84
ss  l 14
ss  m 348
ss  n 218
ss  o 26
ss  p 34
ss  r 20
ss  s 1246
ss  t 12
ss  u 374
ss  v 198
ss  w 1592
ss  z 208
ss'   2
ssC e 2
ssC o 4
ssK a 16
ssM i 2
ssP o 2
ssa   4
ssa a 2
ssa b 310
ssa c 44
ssa d 26
ssa g 80
ssa h 2
ssa k 10
ssa n 80
ssa r 688
ssa s 2
ssa t 20
ssb a 30
ssb c 2
ssb e 38
ssb i 6
ssb r 116
ssb u 92
ssc h 1540
ssc k 2
sse   1796
sse b 8
sse f 22
sse h 18
sse i 2
sse k 120
sse l 318
sse m 28
sse n 8094
sse r 2358
sse s 632
sse t 250
sse v 2
sse x 2
ssf a 22
ssf h 2
ssf i 2
ssf o 146
ssg e 2
ssh a 2
ssh e 6
ssh n 20
ssi c 242
ssi d 4
ssi e 194
ssi f 16
ssi g 290
ssi l 28
ssi m 2
ssi n 6
ssi o 3626
ssi s 100
ssi t 48
ssi v 112
ssk a 4
ssk o 4
ssk r 2
ssl a 418
ssl i 112
ssl o 6
ssl s 2
ssm a 2
ssm e 12
ssn a 10
ssn d 8
ssn e 4
sso b 4
sso i 2
sso n 6
sso r 16
sso u 504
sso z 40
ssp a 6
ssp e 10
ssp h 2
ssp i 28
ssp o 2
ssp r 334
ssr e 16
sss c 2
sss e 2
sss i 32
sss p 2
sss t 18
sss y 10
sst   702
sst a 356
sst c 22
sst e 736
sst i 18
sst m 2
sst n 16
sst o 16
sst r 262
sst s 48
sst t 2
sst u 36
sst z 28
ssu c 12
ssu l 2
ssu m 2
ssu n 838
ssv e 36
ssv o 4
ssw e 14
ssw i 8
ssy l 2
ssy s 558
ssz e 6
ssz o 2
st    206
st  A 124
st  B 28
st  D 346
st  E 176
st  F 78
st  G 24
st  H 58
st  I 328
st  J 12
st  K 20
st  L 14
st  M 46
st  N 20
st  O 10
st  P 16
st  R 14
st  S 56
st  T 48
st  U 40
st  V 34
st  W 162
st  Z 36
st  a 724
st  b 284
st  d 2876
st  e 2214
st  f 260
st  g 208
st  h 160
st  i 478
st  j 170
st  k 154
st  l 34
st  m 272
st  n 428
st  o 66
st  p 38
st  q 2
st  r 56
st  s 656
st  t 46
st  u 978
st  v 260
st  w 770
st  z 236
st'   2
stB e 8
stE v 2
stK r 2
stQ u 8
stS a 2
stS d 2
stS i 2
stU n 2
sta   4
sta a 3982
sta b 256
sta c 2
sta d 126
sta g 86
sta h 8
sta i 2
sta k 8
sta l 302
sta m 78
sta n 1556
sta r 510
sta s 10
sta t 1426
sta u 244
stb a 16
stb e 54
stb l 6
stb o 2
stc h 8
stc k 32
std a 2
std e 48
std i 4
std o 4
std t 94
ste   1358
ste a 6
ste c 136
ste h 2266
ste i 304
ste l 4518
ste m 1706
ste n 4800
ste r 1194
ste s 400
ste t 536
ste u 226
ste x 58
stf a 6
stf r 2
stg a 2
stg e 444
stg r 16
sth a 202
sth e 8
sth i 2
sth l 12
sth o 4
sti c 24
sti e 374
sti f 66
sti g 726
sti k 66
sti l 34
sti m 3668
sti n 58
sti r 6
sti s 488
sti t 1456
sti v 10
sti z 146
stj e 2
stk o 4
stk r 2
stl a 20
stl e 594
stl h 2
stl i 134
stl o 6
stl u 2
stm a 38
stm e 10
stm g 94
stm i 4
stm m 6
stm o 2
stn a 10
stn d 1318
stn i 4
stn o 4
sto   52
sto c 52
sto e 86
sto f 246
sto h 2
sto l 34
sto n 2
sto p 32
sto r 162
sto t 22
sto v 2
sto w 2
stp e 2
stp o 16
stp r 14
str   8
str a 798
str c 4
str e 904
str g 92
str i 884
str k 1236
str m 94
str n 6
str o 286
str t 44
str u 1514
str z 40
sts   246
sts a 2
sts c 6
sts e 62
sts i 2
sts p 22
sts t 204
sts u 2
stt   22
stt i 264
stt t 18
stt z 2356
stu d 38
stu f 62
stu k 2
stu m 804
stu n 1476
stu r 44
stu s 2
stv e 136
stv o 2
stw a 8
stw e 12
stw i 140
sty   2
stz a 2
stz e 368
stz l 484
stz o 2
stz u 112
stz w 2
sua l 2
sub e 2
sub j 10
sub r 2
sub s 28
sub v 6
suc h 1004
sud a 200
sue l 16
sue r 24
suf e 6
suk z 2
sul a 2
sul e 4
sul t 130
sum   14
sum b 2
sum e 34
sum f 20
sum g 4
sum i 8
sum m 8
sum n 14
sum p 6
sum r 2
sum s 30
sum t 20
sum w 2
sun a 18
sun d 510
sun f 6
sun g 1586
sun i 124
sun k 6
sun r 2
sun s 14
sun t 58
sup r 28
sur   8
sur H 2
sur d 30
sur l 4
sur s 4
sur t 28
sus   2
sus R 2
sus r 6
sus t 2
sut t 4
sva t 2
sve r 880
svo l 172
svo r 802
svo t 2
sw    2
sw  A 2
sw  D 4
sw  H 2
sw  I 2
sw  U 2
sw  b 8
sw  d 2
sw  e 2
sw  f 2
sw  h 2
sw  i 2
sw  k 2
sw  l 2
sw  n 2
sw  s 2
sw  u 4
sw  w 2
sw  z 8
swa c 158
swa f 2
swa h 66
swa n 22
swe b 2
swe c 14
swe g 258
swe i 726
swe l 30
swe r 236
swe s 154
swe t 4
swg u 2
swh r 18
swi c 8
swi d 8
swi g 2
swi l 6
swi r 794
swi s 10
swo   18
swo c 6
swr a 2
swr d 16
swr t 184
sy  u 2
sy  z 2
sya n 2
syc h 10
syl   28
syl a 12
syl b 16
syl f 10
syl m 2
syl p 14
syl s 20
syl v 4
syl w 6
sym b 28
sym m 18
sym p 4
syn c 2
syn t 8
syp h 2
syr i 14
sys t 950
sz  b 2
sz  d 2
sz  v 2
szP a 2
szW o 2
sza h 46
sze i 170
sze k 4
sze n 50
sze u 2
szg e 4
szi e 74
szi p 74
szl   6
szl l 4
szn   2
szo n 26
szu a 42
szu b 46
szu d 36
szu f 38
szu g 62
szu h 36
szu k 12
szu l 12
szu m 6
szu n 16
szu p 2
szu r 26
szu s 236
szu t 18
szu w 46
szu z 4
szw e 36
szw n 8
szy k 12
t     96
t   A 6
t   B 4
t   D 14
t   E 14
t   F 2
t   G 6
t   I 6
t   J 24
t   K 2
t   L 8
t   M 46
t   N 4
t   P 4
t   S 10
t   T 2
t   U 4
t   V 4
t   W 4
t   Y 2
t   Z 4
t   a 40
t   b 46
t   d 170
t   e 76
t   f 8
t   g 18
t   h 16
t   i 96
t   j 4
t   k 4
t   l 6
t   m 20
t   n 30
t   o 12
t   p 4
t   r 6
t   s 56
t   t 2
t   u 110
t   v 12
t   w 82
t   z 22
t A   2
t A b 100
t A c 2
t A g 4
t A k 8
t A l 116
t A m 32
t A n 160
t A r 56
t A s 24
t A t 2
t A u 256
t B I 20
t B a 50
t B e 210
t B i 46
t B l 80
t B o 12
t B r 30
t B u 48
t C   2
t C O 2
t C a 10
t C h 8
t C l 2
t C o 4
t D   2
t D C 18
t D a 608
t D e 524
t D i 1192
t D m 2
t D n 2
t D o 10
t D r 86
t D u 34
t E   4
t E A 2
t E B 32
t E F 4
t E G 8
t E H 2
t E I 2
t E N 6
t E P 2
t E Q 2
t E U 28
t E V 12
t E W 2
t E b 8
t E c 4
t E f 8
